"Team", "M", "W", "D", "L", "G", "GA", "PTS", "xG", "NPxG", "xGA", "NPxGA", "NPxGD", "PPDA", "OPPDA", "DC", "ODC", "xPTS"
 "Inter", 38, 19, 5, 14, 72, 49, 62, 68.76, 64.95, 44.78, 40.21, 24.75, 7.63, 11.18, 277, 162, 67.65
 "Fiorentina", 38, 16, 12, 10, 63, 57, 60, 55.14, 47.41, 53.3, 48.74, -1.33, 8.3, 12.22, 214, 212, 55.61
 "Torino", 38, 13, 14, 11, 71, 66, 53, 57.4, 49.63, 61.72, 56.39, -6.75, 8.92, 10.12, 229, 271, 48.75
 "Sassuolo", 38, 14, 7, 17, 60, 61, 49, 50.57, 42.96, 61.9, 55.7, -12.74, 10.28, 7.99, 200, 253, 44.56
 "Sampdoria", 38, 12, 12, 14, 49, 55, 48, 46.17, 40.08, 56.86, 50.68, -10.6, 8.18, 10.29, 182, 230, 46.62
 "Cagliari", 38, 14, 5, 19, 55, 76, 47, 42.42, 37.85, 68.32, 59.12, -21.27, 11.22, 7.73, 177, 267, 36.17
 "Udinese", 38, 12, 9, 17, 47, 56, 45, 44.94, 42.59, 54.66, 47.81, -5.22, 13.94, 7.93, 152, 229, 47.22
 "Chievo", 38, 12, 7, 19, 43, 61, 43, 42.74, 38.17, 55.01, 50.44, -12.27, 12.11, 9.5, 160, 252, 45.88
 "Bologna", 38, 11, 8, 19, 40, 58, 41, 36.51, 34.99, 58.3, 54.48, -19.49, 11.29, 9.52, 163, 253, 38.57
 "Genoa", 38, 9, 9, 20, 38, 64, 36, 45.2, 42.91, 51.25, 45.02, -2.11, 9.97, 9.79, 192, 206, 49.0
 "Crotone", 38, 9, 7, 22, 34, 58, 34, 34.17, 30.36, 61.23, 53.62, -23.25, 13.17, 6.35, 130, 227, 33.94
 "Empoli", 38, 8, 8, 22, 29, 61, 32, 35.09, 30.44, 67.01, 60.14, -29.71, 9.59, 8.16, 182, 278, 33.29
 "Palermo", 38, 6, 8, 24, 33, 77, 26, 28.92, 28.15, 60.94, 56.37, -28.22, 12.21, 8.68, 112, 252, 30.52
 "Pescara", 38, 2, 9, 27, 35, 83, 15, 43.12, 37.79, 68.41, 63.84, -26.05, 11.32, 8.45, 241, 261, 38.05
 "Juventus", 38, 29, 4, 5, 75, 20, 91, 62.99, 56.14, 23.0, 19.92, 36.22, 8.52, 10.03, 270, 101, 78.74
 "Napoli", 38, 25, 7, 6, 80, 32, 82, 69.53, 63.44, 26.69, 22.76, 40.68, 7.81, 14.98, 320, 142, 79.07
 "Roma", 38, 23, 11, 4, 83, 41, 80, 64.43, 61.38, 39.79, 33.55, 27.83, 8.03, 12.28, 326, 142, 69.85
 "Inter", 38, 20, 7, 11, 50, 38, 67, 54.3, 52.01, 44.25, 39.55, 12.46, 9.1, 9.9, 246, 191, 58.84
 "Fiorentina", 38, 18, 10, 10, 60, 42, 64, 53.19, 46.31, 36.22, 35.46, 10.85, 6.56, 11.42, 211, 142, 63.31
 "Sassuolo", 38, 16, 13, 9, 49, 40, 61, 47.32, 41.99, 42.93, 38.99, 3.01, 7.55, 7.71, 210, 190, 53.62
 "AC Milan", 38, 15, 12, 11, 49, 43, 57, 53.91, 48.54, 40.91, 37.1, 11.44, 7.46, 8.54, 232, 183, 60.29
 "Lazio", 38, 15, 9, 14, 52, 52, 54, 55.21, 46.7, 43.58, 37.48, 9.22, 7.37, 9.36, 231, 166, 59.99
 "Chievo", 38, 13, 11, 14, 43, 45, 50, 40.59, 34.5, 51.09, 47.91, -13.41, 8.81, 8.71, 165, 255, 45.91
 "Genoa", 38, 13, 7, 18, 45, 48, 46, 45.29, 42.24, 48.63, 47.11, -4.87, 7.72, 7.31, 201, 240, 48.63
 "Empoli", 38, 12, 10, 16, 40, 49, 46, 37.84, 36.32, 47.51, 45.99, -9.67, 8.24, 8.06, 208, 188, 44.41
 "Torino", 38, 12, 9, 17, 52, 55, 45, 49.42, 41.05, 41.29, 35.96, 5.08, 10.71, 9.27, 212, 182, 57.52
