Player;Yearly Salary;Age;Position;Nationality
Sofian Kiyine;676000;23;WB L, AM LC;Morocco
David Okereke;676000;23;AM R, ST;Nigeria
Ethan Ampadu;624000;20;D C, DM;Wales
Gianluca Busio;624000;19;DM, AM C;U.S.A.
Thomas Henry;520000;26;ST;France
David Schnegg;488800;22;D/WB/M L;Austria
Marco Modolo;462800;32;D C;Italy
Riccardo Bocalon;452400;32;ST;Italy
Cristian Molinaro;436800;37;D/WB L;Italy
Daan Heymans;436800;22;AM C;Belgium
Dennis Johnsen;436800;23;AM RL;Norway
Ridgeciano Haps;400400;28;D/WB/AM L;Suriname
Niki Maenpaa;358800;36;GK;Finland
Domen Crnigoj;280800;25;AM RC;Slovenia
Tyronne Ebuehi;239200;25;D/WB RL, M R;Nigeria
Luca Fiordilino;208000;24;DM;Italy
Lauri Ala-Myllymaki;156000;24;AM/F C;Finland
Pasquale Mazzocchi;145600;25;D/WB/AM R;Italy
Tanner Tessmann;135200;19;DM;U.S.A.
Antonio Vacca;130000;31;DM;Italy
Bjarki Steinn Bjarkason;130000;21;AM RLC;Iceland
Jack De Vries;109200;19;AM RL;U.S.A.
Mattia Aramu;98800;26;AM RLC, F C;Italy
Damiano Pecile;72800;19;DM;Canada
