Player;Yearly Salary;Age;Position;Nationality
Matteo Pessina;1508000;24;AM C;Italy
Rafael Tolói;1456000;30;D RC;Italy
Berat Djimsiti;1404000;28;D C;Albania
Hans Hateboer;1300000;27;D/WB/M R;Holland
José Luis Palomino;1248000;31;D C;Argentina
Ruslan Malinovskyi;1196000;28;AM C;Ukraine
Remo Freuler;1144000;29;DM;Switzerland
Joakim Maehle;1144000;24;D/WB RL M R;Denmark
Robin Gosens;1144000;27;D/WB/M L;Germany
Marco Sportiello;884000;29;GK;Italy
Giuseppe Pezzella;780000;23;D/WB/M L;Italy
Matteo Lovato;572000;21;D C;Italy
Federico Mattiello;483600;25;D/WB/M RL;Italy
Roberto Piccoli;452400;20;ST;Italy
Francesco Rossi;171600;30;GK;Italy
Lukás Vorlický;52000;19;AM LC;Czech Republic
Alassane Sidibé;48360;19;AM RC;Ivory Coast
Simone Panada;39000;19;DM;Italy
Guillaume Renault;35880;19;D/WB R;Italy
Alessandro Pavan;31720;21;GK;Italy
Andrea Pinamonti;3328000;22;ST;Italy
Patrick Cutrone;3068000;23;ST;Italy
Leonardo Mancuso;2236000;29;AM RL ST;Italy
Nedim Bajrami;1872000;22;AM C;Albania
Lorenzo Tonelli;1560000;31;D C;Italy
Andrea La Mantia;1560000;30;ST;Italy
Simone Romagnoli;1456000;31;D C;Italy
Samuele Ricci;1456000;19;DM;Italy
Leo stulac;1352000;26;DM;Slovenia
Ardian Ismajli;1300000;24;D RC;Albania
Liam Henderson;1248000;25;AM C;Scotland
Nicolas Haas;1196000;25;AM C;Switzerland
Filippo Bandinelli;1040000;26;AM LC;Italy
Federico Di Francesco;1040000;27;AM RLC F C;Italy
Guglielmo Vicario;988000;24;GK;Italy
Sebastiano Luperto;988000;24;D LC;Italy
Petar Stojanovic;728000;25;D/WB R;Slovenia
Riccardo Marchizza;676000;23;D LC;Italy
Szymon Zurkowski;676000;23;DM AM C;Poland
Samir Ujkani;447200;33;GK;Kosovo
Riccardo Fiamozzi;296400;28;D/WB/M R;Italy
Jacopo Furlan;213200;28;GK;Italy
Fabiano Parisi;171600;20;D/WB/M L;Italy
Mattia Viti;150800;19;D C;Italy
Samuele Damiani;135200;23;DM;Italy
Emmanuel Ekong;119600;19;ST;Sweden
Kristjan Asllani;104000;19;DM;Albania
Antonino Fradella;47320;20;D RC;Italy
Davide Villa;26520;19;ST;Italy
Mouhamadou Sakho;25480;21;DM;Senegal
Kevin Strootman;5096000;31;DM;Holland
Diego Godín;4836000;35;D C;Uruguay
Marko Rog;2340000;25;M C;Croatia
João Pedro;2236000;29;AM LC F C;Brazil
Leonardo Pavoletti;2236000;32;ST;Italy
Dalbert;2028000;27;D/WB/M L;Brazil
Nahitan Nández;2028000;25;WB R M RC;Uruguay
Martín Cáceres;1872000;34;D RC;Uruguay
Gastón Pereiro;1872000;26;AM RLC;Uruguay
Alessio Cragno;1716000;27;GK;Italy
Keita Baldé;1664000;26;AM RLC F C;Senegal
Luca Ceppitelli;1560000;31;D C;Italy
Alberto Grassi;1560000;26;DM;Italy
Razvan Marin;1456000;25;DM AM C;Romania
Andrea Carboni;1248000;20;D LC;Italy
Diego Farias;1196000;31;AM RLC F C;Brazil
Charalampos Lykogiannis;884000;27;D LC;Greece
Paolo Faragò;728000;28;D/WB R M RC;Italy
Raoul Bellanova;728000;21;D/WB/M R;Italy
Alessandro Deiola;494000;25;DM;Italy
Christian Oliva;488800;25;DM;Uruguay
Gabriele Zappa;478400;21;D/WB/M R;Italy
Sebastian Walukiewicz;395200;21;D C DM;Poland
Boris Radunovic;338000;25;GK;Serbia
Simone Aresti;239200;35;GK;Italy
Damir Ceter Valencia;228800;23;ST;Colombia
Steve Yanken Yanken;83200;18;DM M LC;Belgium
Giorgio Altare;62400;22;D C;Italy
Lisandru Tramoni;37960;18;AM RL;France
Riccardo Ladinetti;36400;20;DM;Italy
Ciro Immobile;6344000;31;ST;Italy
Sergej Milinkovic-Savic;4940000;26;AM C;Serbia
Luis Alberto;3952000;28;AM C;Spain
Lucas Leiva;3640000;34;DM;Brazil
Elseid Hysaj;3276000;27;D/WB RL;Albania
Pedro;3172000;33;AM RLC;Spain
Pepe Reina;3120000;38;GK;Spain
Francesco Acerbi;2964000;33;D C;Italy
Vedat Muriqi;2704000;27;ST;Kosovo
Felipe Anderson;2704000;28;AM RL;Brazil
Manuel Lazzari;2340000;27;D/WB/M R;Italy
Danilo Cataldi;2340000;26;DM AM C;Italy
Stefan Radu;2236000;34;D LC;Romania
Mattia Zaccagni;1976000;26;AM LC;Italy
Gonzalo Escalante;1872000;28;DM;Argentina
Thomas Strakosha;1768000;26;GK;Albania
Jordan Lukaku;1560000;26;D/WB/M L;Belgium
Adam Marusic;1560000;28;D/WB RL M R;Montenegro
Patric;1508000;28;D RC;Spain
Riza Durmisi;1456000;27;D/WB/M L;Denmark
Jony;1404000;30;WB/AM L;Spain
Denis Vavro;1404000;25;D C;Slovakia
Luiz Felipe;1248000;24;D C;Brazil
Dimitrije Kamenovic;1040000;20;D LC;Serbia
André Anderson;936000;21;AM/F C;Brazil
Bobby Adekanye;832000;22;AM RLC F C;Holland
Jean-Daniel Akpa Akpro;780000;28;M C;Ivory Coast
Cristiano Lombardi;728000;25;WB R AM RLC;Italy
Raúl Moro;676000;18;AM RLC F C;Spain
Alessandro Rossi;494000;24;ST;Italy
Simy;832000;29;ST;Nigeria
Andrea Schiavone;780000;28;DM;Italy
Lassana Coulibaly;676000;25;M C;Mali
Riccardo Gagliolo;624000;31;D LC;Sweden
Francesco Di Tacchio;624000;31;DM;Italy
Mamadou Coulibaly;624000;22;DM;Senegal
Cédric Gondo;624000;24;ST;Ivory Coast
Vid Belec;572000;31;GK;Slovenia
Luka Bogdan;572000;25;D C;Croatia
Stefan Strandberg;468000;30;D C;Norway
Norbert Gyömber;462800;29;D RC;Slovakia
Milan Duric;462800;31;ST;Bosnia & Herzegovina
Pawel Jaroszynski;457600;26;D LC M L;Poland
Ramzi Aya;452400;30;D C;Italy
Wajdi Kechrida;384800;25;D/WB R M C;Tunisia
Nadir Zortea;306800;22;D/WB/M R;Italy
Luca Ranieri;260000;22;D LC M L;Italy
Vincenzo Fiorillo;234000;31;GK;Italy
Grigoris Kastanos;166400;23;AM C;Cyprus
Filippo Delli Carri;119600;22;D C;Italy
Leonardo Capezzi;104000;26;DM;Italy
Sedrick Kalombo;83200;26;D/WB/M R;DR Congo
